time,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gt_px,gt_py,gt_pz,gt_vx,gt_vy,gt_vz,gt_qw,gt_qx,gt_qy,gt_qz,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_qw,est_qx,est_qy,est_qz,correction_applied,P_dpx,P_dpy,P_dpz,P_dvx,P_dvy,P_dvz,P_dtheta_x,P_dtheta_y,P_dtheta_z
5.0000000000e-03,2.2275467317e+01,-1.5035540946e+00,-9.8217362075e+00,-2.5388520963e-01,-1.1355630632e+00,-8.6761920820e-02,2.7063791332e-04,-8.1767930429e-06,5.3325335802e-02,1.0359276789e-01,-3.9886905155e-03,-8.4344024938e-02,9.9998983857e-01,-3.4996583657e-04,-4.4929703148e-03,-1.1614111863e-04,0.0000000000e+00,0.0000000000e+00,5.0000000000e-02,1.1137733658e-01,-7.5177704728e-03,-9.8158681038e-02,9.9999574535e-01,-6.3471212391e-04,-2.8389036317e-03,-2.1690449443e-04,0.0000000000e+00,1.0000002500e-04,1.0000002500e-04,1.0000002500e-04,1.7612751484e-06,5.5228111377e-06,4.8053927373e-06,3.0461743844e-04,3.0461743844e-04,3.0461743844e-04
1.0000000000e-02,1.3461222724e+01,-2.2283572301e+00,-5.5108581690e+00,-3.8430727714e-01,-2.0005716222e+00,-1.3927502721e-01,1.0607315128e-03,-5.6494844066e-05,5.2641901415e-02,1.8871031770e-01,-1.3965298824e-02,-1.6844838454e-01,9.9996110296e-01,-1.2047688487e-03,-8.7271552008e-03,-4.2172718733e-04,5.5688668292e-04,-3.7588852364e-05,4.9509206595e-02,1.7883392514e-01,-1.8723513785e-02,-1.7436620762e-01,9.9996783229e-01,-1.5955601476e-03,-7.8402653012e-03,-5.6463930533e-04,0.0000000000e+00,1.0000011903e-04,1.0000021307e-04,1.0000019513e-04,2.8974568440e-06,1.2532811389e-05,1.0867783388e-05,3.0461745710e-04,3.0461745710e-04,3.0461745710e-04
1.5000000000e-02,-3.7476955158e+00,-2.3781739613e-01,3.0672336722e+00,-2.9301176015e-01,-1.2932389342e+00,-1.6776324828e-01,2.1289785253e-03,-1.5994785725e-04,5.1600336540e-02,2.1434676503e-01,-2.4169995788e-02,-2.2867710730e-01,9.9990496404e-01,-2.1199095414e-03,-1.3598012529e-02,-8.1420277458e-04,1.4510563086e-03,-1.3120642129e-04,4.8637375557e-02,1.5985594680e-01,-1.9842828726e-02,-2.0837207248e-01,9.9993549586e-01,-2.3265929791e-03,-1.1073464425e-02,-9.8461462446e-04,0.0000000000e+00,1.0000035113e-04,1.0000098728e-04,1.0000087281e-04,2.2899629118e-06,9.9541938626e-06,8.9323838735e-06,3.0461747576e-04,3.0461747576e-04,3.0461747576e-04
2.0000000000e-02,-3.9044344062e+00,8.6827503548e-02,1.0838628526e+01,-1.8324017762e-01,4.5863968383e-01,-1.8501997825e-01,3.1463037254e-03,-2.7881210397e-04,5.0415731088e-02,1.9621098975e-01,-2.3399851096e-02,-2.3737481797e-01,9.9989758019e-01,-2.6651958326e-03,-1.4004079597e-02,-1.2694977795e-03,2.2503360426e-03,-2.3042056492e-04,4.7595515194e-02,1.3913959157e-01,-1.9117925265e-02,-2.0367723529e-01,9.9994580224e-01,-2.7784107318e-03,-9.9275549951e-03,-1.4548741702e-03,0.0000000000e+00,1.0000068463e-04,1.0000221104e-04,1.0000196206e-04,1.1660660109e-06,6.9520701223e-06,7.0463752446e-06,3.0461749442e-04,3.0461749442e-04,3.0461749442e-04
2.5000000000e-02,-1.2957160473e+01,1.0979513158e+00,3.0609001967e+01,-1.0684757699e-01,1.0548801862e+00,-1.4619299741e-01,4.0406403515e-03,-3.8235486776e-04,4.9318821254e-02,1.5811331379e-01,-1.8417947030e-02,-1.8944297945e-01,9.9992685682e-01,-3.0132038945e-03,-1.1588553460e-02,-1.7050025361e-03,2.9460340005e-03,-3.2601019124e-04,4.6577129018e-02,7.1345785838e-02,-1.2588531803e-02,-1.0103188409e-01,9.9996712959e-01,-3.0380397984e-03,-7.2910919025e-03,-1.8303102632e-03,0.0000000000e+00,1.0000095128e-04,1.0000356271e-04,1.0000330825e-04,7.4310959698e-06,8.9333934115e-06,2.6459670829e-06,3.0461751308e-04,3.0461751308e-04,3.0461751308e-04
3.0000000000e-02,-8.6771826477e+00,6.7146664413e-01,2.4269456421e+01,-4.2923065849e-02,8.8858072519e-01,-8.6540704968e-02,4.6677560220e-03,-4.5565700376e-04,4.8628124980e-02,1.0624904893e-01,-1.2566872247e-02,-1.0761008738e-01,9.9995071469e-01,-3.1728173681e-03,-9.1948963003e-03,-1.9887927605e-03,3.3027629297e-03,-3.8895285026e-04,4.6071969597e-02,2.6209113642e-02,-8.3338606987e-03,-2.9403175835e-02,9.9998010789e-01,-3.1396928798e-03,-5.0701576340e-03,-2.0541814073e-03,0.0000000000e+00,1.0000097797e-04,1.0000425473e-04,1.0000428188e-04,2.2452816618e-05,2.2640908203e-05,1.2869531296e-06,3.0461753173e-04,3.0461753173e-04,3.0461753173e-04
3.5000000000e-02,-5.7194983463e+00,2.8400413791e-01,1.9338310870e+01,2.3279791820e-03,7.1601945866e-01,-4.6871322746e-02,5.0885447757e-03,-5.0698458305e-04,4.8268110584e-02,7.1289315250e-02,-9.0740679063e-03,-5.1251372655e-02,9.9996636414e-01,-3.2043866986e-03,-7.2374011583e-03,-2.1500042511e-03,3.4338084979e-03,-4.3062215375e-04,4.5924953718e-02,-3.3600035258e-03,-6.1881383454e-03,1.7932263212e-02,9.9998735229e-01,-3.1295968041e-03,-3.2805172562e-03,-2.1769447071e-03,0.0000000000e+00,1.0000165509e-04,1.0000519036e-04,1.0000489468e-04,4.0837801525e-05,4.0829577660e-05,1.0810785197e-06,3.0461755039e-04,3.0461755039e-04,3.0461755039e-04
4.0000000000e-02,-3.7345243018e+00,1.7120907657e-01,1.5852620201e+01,2.9123420973e-02,5.6568596321e-01,-2.2240662162e-02,5.3711878729e-03,-5.4597976906e-04,4.8129292253e-02,4.7924603161e-02,-7.1167754259e-03,-1.4247818950e-02,9.9997640838e-01,-3.1518267525e-03,-5.6799439988e-03,-2.2331403213e-03,3.4170084803e-03,-4.6156284548e-04,4.6014615034e-02,-2.2547262824e-02,-4.7539548206e-03,4.8013995072e-02,9.9999109428e-01,-3.0535249854e-03,-1.8666499246e-03,-2.2367305259e-03,0.0000000000e+00,1.0000422734e-04,1.0000771914e-04,1.0000525458e-04,6.0167263789e-05,6.0315242929e-05,1.2371455267e-06,3.0461756905e-04,3.0461756905e-04,3.0461756905e-04
4.5000000000e-02,-2.4907005543e+00,3.9753571959e-01,1.3599221711e+01,2.3482941545e-02,4.3127360630e-01,-7.5228973763e-03,5.5617065832e-03,-5.7333186127e-04,4.8132527047e-02,3.2386343478e-02,-4.2739034991e-03,9.1095576687e-03,9.9998269418e-01,-3.0795420372e-03,-4.4701207174e-03,-2.2684316509e-03,3.9193646578e-03,-5.0244827154e-04,4.5602190149e-02,2.2149672641e-02,-4.2963477749e-03,6.4149867472e-02,9.9851580220e-01,-1.1686466428e-03,5.4423442319e-02,-1.7076159348e-03,1.0000000000e+00,1.0000217878e-04,1.0000612298e-04,1.0000227940e-04,8.0576862176e-06,8.0916194699e-06,1.0023518087e-06,3.4604408858e-05,3.4457342509e-05,3.0548346318e-04
5.0000000000e-02,-1.6523074063e+00,2.4262307214e-01,1.1909175977e+01,1.2408152442e-02,3.2437379198e-01,4.1621355098e-03,5.6900961949e-03,-5.8769859450e-04,4.8222845073e-02,2.1735940592e-02,-2.0853002989e-03,2.3027731823e-02,9.9998648455e-01,-3.0377983454e-03,-3.5549906819e-03,-2.2725623335e-03,4.0312758986e-03,-5.1867282234e-04,4.5686685577e-02,1.9664220920e-02,-2.5107393046e-03,7.0020956288e-02,9.9852272334e-01,-1.4883865112e-03,5.4286299924e-02,-1.7757586455e-03,1.0000000000e+00,1.0000227140e-04,1.0000624792e-04,1.0000230159e-04,4.7448193371e-06,4.7618316669e-06,8.9790642928e-07,1.8110200733e-05,1.7992913827e-05,3.0545268490e-04
