time,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gt_px,gt_py,gt_pz,gt_vx,gt_vy,gt_vz,gt_qw,gt_qx,gt_qy,gt_qz,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_qw,est_qx,est_qy,est_qz,correction_applied,P_dpx,P_dpy,P_dpz,P_dvx,P_dvy,P_dvz,P_dtheta_x,P_dtheta_y,P_dtheta_z
5.0000000000e-03,2.0144622883e+01,-1.7977532866e+00,-8.8167198631e+00,-3.0144841827e-01,-1.3758953479e+00,-1.0427168295e-01,3.3862394930e-04,-9.1826659496e-06,5.3273625826e-02,1.2596189781e-01,-5.1231696081e-03,-1.0289950995e-01,9.9998801791e-01,-4.4436952272e-04,-4.8728767656e-03,-1.4714040570e-04,0.0000000000e+00,0.0000000000e+00,5.0000000000e-02,1.0072311441e-01,-8.9887664330e-03,-9.3133599316e-02,9.9999376616e-01,-7.5361947968e-04,-3.4397312222e-03,-2.6067866571e-04,0.0000000000e+00,1.0000002500e-04,1.0000002500e-04,1.0000002500e-04,1.6260195992e-06,4.6917952748e-06,4.1244252846e-06,3.0461743844e-04,3.0461743844e-04,3.0461743844e-04
1.0000000000e-02,1.1841839587e+01,-2.3379382256e+00,-4.6783189165e+00,-4.0348799661e-01,-2.1599913228e+00,-1.4890930779e-01,1.1863401929e-03,-6.0943070443e-05,5.2543741957e-02,2.0468568181e-01,-1.5830984481e-02,-1.8391721241e-01,9.9995469620e-01,-1.3505759610e-03,-9.4104403055e-03,-4.7444412678e-04,5.0361557207e-04,-4.4943832165e-05,4.9534332003e-02,1.6008565953e-01,-2.0744303133e-02,-1.6514966754e-01,9.9995917674e-01,-1.7624438016e-03,-8.8396140442e-03,-6.3234398202e-04,0.0000000000e+00,1.0000011565e-04,1.0000019229e-04,1.0000017811e-04,2.5193899574e-06,1.0194863256e-05,8.9564923635e-06,3.0461745710e-04,3.0461745710e-04,3.0461745710e-04
1.5000000000e-02,-4.3462154560e+00,-1.5399044743e-01,6.0861632503e+00,-2.7843134470e-01,-7.8697680954e-01,-1.7609941068e-01,2.2754103941e-03,-1.6446542173e-04,5.1465543756e-02,2.1246780097e-01,-2.2925518207e-02,-2.3656536957e-01,9.9990004702e-01,-2.2633978070e-03,-1.3928038892e-02,-8.8472534819e-04,2.3804034544e-03,-2.1078958556e-04,4.8081377579e-02,2.1169496775e-01,-2.2819224651e-02,-2.3631400548e-01,9.9613508214e-01,1.9671289442e-02,8.1096458676e-02,2.7409904935e-02,1.0000000000e+00,1.0000000703e-04,1.0000003681e-04,1.0000002854e-04,9.9109468648e-09,9.9846339228e-09,9.9810074274e-09,2.7246008160e-04,4.6386950855e-05,7.4870150672e-05
2.0000000000e-02,-4.0262956709e+00,4.1697229956e-02,1.2254883002e+01,-1.6359827329e-01,8.0997637277e-01,-1.8522780269e-01,3.2809412958e-03,-2.7834535259e-04,5.0267831005e-02,1.9034652034e-01,-2.2527292282e-02,-2.3748861896e-01,9.9990202577e-01,-2.7912415639e-03,-1.3650453060e-02,-1.3464628462e-03,3.4435149458e-03,-3.1186299028e-04,4.6672287678e-02,1.9035270081e-01,-2.2884491277e-02,-2.3259255384e-01,9.9973158954e-01,-5.6642682618e-04,-6.5370823338e-03,2.2219239417e-02,1.0000000000e+00,1.0000000836e-04,1.0000003273e-04,1.0000000866e-04,9.4680347342e-09,9.8868898027e-09,6.6520795180e-09,1.0715802231e-05,6.1871268746e-06,5.1006817511e-05
2.5000000000e-02,-1.1226092787e+01,9.9097892733e-01,2.8430763015e+01,-7.2452494902e-02,1.0167678285e+00,-1.2847118213e-01,4.1228484439e-03,-3.7827377429e-04,4.9219415590e-02,1.3885076607e-01,-1.7262912348e-02,-1.6577066196e-01,9.9993295658e-01,-3.0824216683e-03,-1.1022112403e-02,-1.7589957424e-03,4.4354582265e-03,-4.2439222381e-04,4.5403492765e-02,1.3543867895e-01,-1.7317239384e-02,-1.5628761984e-01,9.9976306995e-01,-8.0571355517e-03,-1.0720427391e-02,1.7145231438e-02,1.0000000000e+00,1.0000000826e-04,1.0000003166e-04,1.0000000649e-04,9.1173421834e-09,9.5887229842e-09,6.5719925361e-09,7.4543644676e-06,7.6600182104e-07,4.5611822419e-05
3.0000000000e-02,-7.2602285846e+00,6.1172790052e-01,2.2475082259e+01,-1.4928317962e-02,7.9680517788e-01,-7.4875351010e-02,4.6867568439e-03,-4.5073671507e-04,4.8596888238e-02,9.1063716888e-02,-1.2168649773e-02,-8.9539906179e-02,9.9995449243e-01,-3.1772988643e-03,-8.7662799468e-03,-2.0174658659e-03,5.1073421347e-03,-5.1872070085e-04,4.4628695275e-02,9.2534118099e-02,-1.2492337933e-02,-9.1472016484e-02,9.9959167421e-01,-1.2139225181e-02,-1.3721551619e-02,2.1928134412e-02,1.0000000000e+00,1.0000000841e-04,1.0000003174e-04,1.0000000672e-04,7.8376924863e-09,8.0860689878e-09,6.3155691568e-09,6.8643809503e-06,4.0192214719e-07,4.4985274666e-05
3.5000000000e-02,-4.6393463173e+00,3.1636703723e-01,1.7968430992e+01,2.4260902481e-02,6.1374031910e-01,-4.1820933726e-02,5.0580065080e-03,-5.0306080709e-04,4.8287744702e-02,6.0352857741e-02,-9.0996701227e-03,-3.8792654053e-02,9.9996803706e-01,-3.1558251095e-03,-7.0194837761e-03,-2.1662122919e-03,5.5590848411e-03,-5.8420253873e-04,4.4197886577e-02,6.2627787238e-02,-9.3260186060e-03,-4.3815238735e-02,9.9951171626e-01,-1.3399553534e-02,-1.4115165694e-02,2.4444695142e-02,1.0000000000e+00,1.0000000849e-04,1.0000002978e-04,1.0000000698e-04,7.1010189900e-09,7.4580976740e-09,6.1858985485e-09,5.7814901444e-06,2.9656472697e-07,4.1203704463e-05
4.0000000000e-02,-2.9787435139e+00,2.0676929226e-01,1.4895310934e+01,4.3684915356e-02,4.7314352679e-01,-2.1714535963e-02,5.3060954559e-03,-5.4334342439e-04,4.8182494994e-02,4.0714144712e-02,-7.1908155988e-03,-6.4749999538e-03,9.9997667913e-01,-3.0644836359e-03,-5.6744113644e-03,-2.2474859165e-03,5.8651381254e-03,-6.2608782622e-04,4.4004153314e-02,4.2520683353e-02,-7.2053282804e-03,-1.1363536538e-02,9.9960099696e-01,-1.2050131506e-02,-1.3880620083e-02,2.1446901706e-02,1.0000000000e+00,1.0000000848e-04,1.0000002601e-04,1.0000000722e-04,6.7079271252e-09,7.3164372112e-09,6.1267780179e-09,4.4396461330e-06,2.4654189538e-07,3.4339776876e-05
4.5000000000e-02,-1.9570791867e+00,4.1356715538e-01,1.2905374017e+01,2.5217889719e-02,3.5620210557e-01,-4.9278882226e-03,5.4743673783e-03,-5.7117601000e-04,4.8206325125e-02,2.7765092564e-02,-4.1663660675e-03,1.3827600647e-02,9.9998216827e-01,-2.9774455596e-03,-4.6469113185e-03,-2.2812668535e-03,6.0734732222e-03,-6.5732772977e-04,4.3967500912e-02,2.8937749499e-02,-4.1750826149e-03,9.8723460261e-03,9.9968319281e-01,-1.0767111730e-02,-1.3445945969e-02,1.8351835342e-02,1.0000000000e+00,1.0000000846e-04,1.0000002215e-04,1.0000000746e-04,6.5052584981e-09,7.2445685224e-09,6.1033943060e-09,3.2766757232e-06,2.1861820084e-07,2.7262926926e-05
5.0000000000e-02,-1.3024600462e+00,2.6347431775e-01,1.1446006741e+01,1.0209151345e-02,2.7004561543e-01,6.9485502363e-03,5.5899840281e-03,-5.8632161723e-04,4.8307652863e-02,1.9231872548e-02,-2.0625925879e-03,2.5290940754e-02,9.9998560978e-01,-2.9346597688e-03,-3.8688999367e-03,-2.2802654768e-03,6.2162151763e-03,-6.7408052895e-04,4.4031793950e-02,1.9850474186e-02,-2.0450015482e-03,2.2361357618e-02,9.9974846474e-01,-9.6998537502e-03,-1.2938767919e-02,1.5540539690e-02,1.0000000000e+00,1.0000000853e-04,1.0000001920e-04,1.0000000770e-04,6.3801193260e-09,7.1290375470e-09,6.0910386387e-09,2.4536169495e-06,1.9980800568e-07,2.1740335087e-05
