time,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gt_px,gt_py,gt_pz,gt_vx,gt_vy,gt_vz,gt_qw,gt_qx,gt_qy,gt_qz,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_qw,est_qx,est_qy,est_qz,correction_applied,P_dpx,P_dpy,P_dpz,P_dvx,P_dvy,P_dvz,P_dtheta_x,P_dtheta_y,P_dtheta_z
5.5000000000e-02,-1.1003042409e+00,1.7271773929e-01,1.0802299123e+01,1.1742408052e-04,2.4103643446e-01,1.1805320179e-02,5.7755716751e-03,-5.9331351294e-04,4.8362371619e-02,1.4367830612e-02,-5.7112026698e-04,3.0491716879e-02,9.9998875375e-01,-3.0257978612e-03,-2.8732760027e-03,-2.2541543824e-03,6.5589206675e-03,-7.0446929113e-04,4.4177708648e-02,1.5465070173e-02,-5.8950667877e-04,2.8459880834e-02,9.9997323159e-01,-6.1630421994e-03,-3.2504398321e-03,-2.2333040711e-03,1.0000000000e+00,1.0000000829e-04,1.0000001579e-04,1.0000000795e-04,6.2940669142e-09,7.0280015657e-09,6.0841829285e-09,1.6712733488e-06,1.6757290303e-07,1.3211892527e-05
6.0000000000e-02,-6.8894007665e-01,1.2207439702e-01,1.0093461472e+01,-1.1499824997e-02,1.7311179142e-01,1.6260766709e-02,5.8313135828e-03,-5.9257812255e-04,4.8525606603e-02,9.2587717174e-03,5.6044795655e-04,3.3659257829e-02,9.9999009194e-01,-3.0422541834e-03,-2.3747089278e-03,-2.2184389038e-03,6.6325389822e-03,-7.0573019570e-04,4.4327036234e-02,1.0178857167e-02,5.7676078110e-04,3.2159540025e-02,9.9997216119e-01,-5.7501602037e-03,-3.3585590578e-03,-3.3663897996e-03,1.0000000000e+00,1.0000000848e-04,1.0000001462e-04,1.0000000819e-04,6.2516064324e-09,6.9134334654e-09,6.0813636874e-09,1.3244962309e-06,1.5750421702e-07,1.0928082691e-05
6.5000000000e-02,-5.1642534691e-01,1.6860229874e-01,9.7707487639e+00,-1.7894146156e-02,1.1738731451e-01,2.6379085653e-02,5.8662754564e-03,-5.8602940864e-04,4.8697116896e-02,5.6482309818e-03,1.8009516448e-03,3.4542571214e-02,9.9999086121e-01,-3.0813886561e-03,-2.0251942166e-03,-2.1635939426e-03,6.6810408312e-03,-7.0140279518e-04,4.4492681400e-02,6.2649933548e-03,1.8565200425e-03,3.3517863492e-02,9.9996989445e-01,-5.3646960048e-03,-3.4193644402e-03,-4.4427679203e-03,1.0000000000e+00,1.0000000868e-04,1.0000001383e-04,1.0000000844e-04,6.2271545297e-09,6.8051565229e-09,6.0804139636e-09,1.0831676699e-06,1.4969272856e-07,9.2898091468e-06
7.0000000000e-02,-3.0625868261e-01,1.0996389136e-01,9.4799001306e+00,-2.5206096384e-02,7.3230568945e-02,3.3965199439e-02,5.8864863301e-03,-5.7368311600e-04,4.8867650505e-02,3.0977138702e-03,2.8551063966e-03,3.3662495031e-02,9.9999128584e-01,-3.1365571915e-03,-1.7992007061e-03,-2.0864143013e-03,6.7102979189e-03,-6.9141223728e-04,4.4663586404e-02,3.5985412063e-03,2.8740144192e-03,3.2950040677e-02,9.9996817452e-01,-5.2329874493e-03,-3.5062505678e-03,-4.8961202955e-03,1.0000000000e+00,1.0000000890e-04,1.0000001331e-04,1.0000000869e-04,6.2113234748e-09,6.7268253555e-09,6.0797481736e-09,9.0609754771e-07,1.4324661912e-07,8.0510942474e-06
7.5000000000e-02,-2.1469372239e-01,8.8925229433e-02,9.2932109584e+00,-2.9901718028e-02,4.0850838983e-02,4.1309852568e-02,5.8963921126e-03,-5.5670556061e-04,4.9030114924e-02,1.3306225422e-03,3.7013790976e-03,3.1643839377e-02,9.9999148953e-01,-3.2061149891e-03,-1.6665544086e-03,-1.9910551056e-03,6.7269566142e-03,-6.7645053234e-04,4.4830727279e-02,1.6635571716e-03,3.7365938992e-03,3.1136410101e-02,9.9996638171e-01,-5.1224257440e-03,-3.5801791003e-03,-5.3083450041e-03,1.0000000000e+00,1.0000000913e-04,1.0000001297e-04,1.0000000894e-04,6.2004818609e-09,6.6519256590e-09,6.0794384930e-09,7.7453142301e-07,1.3776265302e-07,7.1134985942e-06
8.0000000000e-02,-8.8621331016e-02,4.8210474218e-02,9.2099932870e+00,-3.4075359656e-02,1.4931439138e-02,4.5255616358e-02,5.8992863063e-03,-5.3600690901e-04,4.9180417514e-02,1.4769286366e-04,4.3843124781e-03,2.8992473314e-02,9.9999154428e-01,-3.2872956267e-03,-1.6026415057e-03,-1.8805828158e-03,6.7340965834e-03,-6.5738953932e-04,4.4987975625e-02,4.3250741597e-04,4.4059877616e-03,2.8653063744e-02,9.9996496517e-01,-5.0937464999e-03,-3.6876084213e-03,-5.5248282205e-03,1.0000000000e+00,1.0000000936e-04,1.0000001275e-04,1.0000000919e-04,6.1935899008e-09,6.6011463556e-09,6.0792281475e-09,6.7177451620e-07,1.3291144843e-07,6.3657309937e-06
8.5000000000e-02,-3.2359145980e-01,2.3178193233e-01,9.6573297801e+00,-2.1745583496e-02,-1.8594168497e-02,7.2567347685e-02,5.8955187792e-03,-5.0896338467e-04,4.9321374148e-02,-1.4150315424e-03,6.2176933764e-03,2.7932525834e-02,9.9999157239e-01,-3.3562632204e-03,-1.6106593334e-03,-1.7310204943e-03,6.7363515264e-03,-6.3558274638e-04,4.5131382549e-02,-1.4570653370e-03,6.1687828040e-03,2.7904782638e-02,9.9996662594e-01,-5.2643352815e-03,-3.7031589864e-03,-5.0319370764e-03,1.0000000000e+00,1.0000000959e-04,1.0000001264e-04,1.0000000944e-04,6.1940106156e-09,6.5368347373e-09,6.0794923729e-09,5.9342761776e-07,1.2852548308e-07,5.8090336774e-06
9.0000000000e-02,-1.7089104881e-01,1.6622092611e-01,9.4497169271e+00,-9.0160785743e-03,-4.5645343137e-02,9.3519363290e-02,5.8847785760e-03,-4.7291857450e-04,4.9456712778e-02,-2.5554160441e-03,7.7617336289e-03,2.6434631273e-02,9.9999166137e-01,-3.3901200754e-03,-1.6977137563e-03,-1.5172507556e-03,6.7290749489e-03,-6.0503145304e-04,4.5271583242e-02,-2.5913460153e-03,7.6723986479e-03,2.6297036485e-02,9.9996861791e-01,-5.4698414894e-03,-3.7834455269e-03,-4.3045994597e-03,1.0000000000e+00,1.0000000983e-04,1.0000001260e-04,1.0000000968e-04,6.1897423263e-09,6.4984307375e-09,6.0794189953e-09,5.2998257300e-07,1.2452259164e-07,5.3528034058e-06
9.5000000000e-02,-5.1656804638e-02,6.7779241498e-02,9.3550910352e+00,-1.3250426714e-03,-6.1909513149e-02,1.0847642457e-01,5.8698755517e-03,-4.3055852024e-04,4.9582418544e-02,-3.2032629140e-03,8.8723114939e-03,2.4261176755e-02,9.9999174233e-01,-3.4008074722e-03,-1.8354596193e-03,-1.2573256358e-03,6.7159137350e-03,-5.6700318026e-04,4.5403516250e-02,-3.2009111851e-03,8.7501599712e-03,2.4163456726e-02,9.9997026006e-01,-5.7050907465e-03,-3.9196576046e-03,-3.4010604363e-03,1.0000000000e+00,1.0000001007e-04,1.0000001261e-04,1.0000000993e-04,6.1855115027e-09,6.4720207217e-09,6.0792233994e-09,4.7684520515e-07,1.2079722656e-07,4.9620866563e-06
1.0000000000e-01,2.7704147860e-03,5.3657131187e-02,9.2798113363e+00,1.8829211642e-04,-6.9023095150e-02,1.1993968071e-01,5.8528599545e-03,-3.8344893521e-04,4.9695849404e-02,-3.4898667409e-03,9.7277890667e-03,2.1650394503e-02,9.9999174210e-01,-3.4017218666e-03,-2.0027855828e-03,-9.6585404699e-04,6.6999125876e-03,-5.2339388005e-04,4.5524610214e-02,-3.5114595492e-03,9.6641942648e-03,2.1593318666e-02,9.9997088957e-01,-5.8173103439e-03,-4.0722759216e-03,-2.7920381382e-03,1.0000000000e+00,1.0000001031e-04,1.0000001265e-04,1.0000001018e-04,6.1813838307e-09,6.4443676023e-09,6.0791433147e-09,4.3233265068e-07,1.1734097757e-07,4.6296126423e-06
1.0500000000e-01,-1.0233158550e-01,9.8319529541e-02,9.5703024254e+00,1.0388654901e-02,-8.3664274192e-02,1.3509959918e-01,5.8341038966e-03,-3.3169918051e-04,4.9799171919e-02,-3.9407119603e-03,1.0759214201e-02,2.0223150023e-02,9.9999163127e-01,-3.3901161739e-03,-2.1977055508e-03,-6.4388888176e-04,6.6831325137e-03,-4.7515822517e-04,4.5632348057e-02,-4.1192956634e-03,1.0744530882e-02,2.0284729433e-02,9.9997144501e-01,-5.8293026803e-03,-4.1989252471e-03,-2.3446574538e-03,1.0000000000e+00,1.0000001055e-04,1.0000001272e-04,1.0000001043e-04,6.1816594819e-09,6.4157103715e-09,6.0791665734e-09,3.9502275927e-07,1.1403579242e-07,4.3549926418e-06
1.1000000000e-01,1.5160905134e-01,6.4970824300e-02,9.2221766557e+00,1.1608697217e-02,-9.1225641530e-02,1.4278936021e-01,5.8138546795e-03,-2.7534005475e-04,4.9894817514e-02,-4.0564550190e-03,1.1532988835e-02,1.8366389164e-02,9.9999138093e-01,-3.3616756593e-03,-2.4192043740e-03,-2.9093759048e-04,6.6620442134e-03,-4.2132081638e-04,4.5735732116e-02,-3.9377209277e-03,1.1557619763e-02,1.7965358501e-02,9.9997114874e-01,-5.7471153143e-03,-4.4788099608e-03,-2.1476976422e-03,1.0000000000e+00,1.0000001079e-04,1.0000001282e-04,1.0000001068e-04,6.1760221350e-09,6.4034786025e-09,6.0791238971e-09,3.6239231271e-07,1.1099536758e-07,4.1034386379e-06
1.1500000000e-01,1.9988389310e-01,2.1140336010e-02,9.1355561059e+00,9.5363527868e-03,-8.0892560955e-02,1.5086178290e-01,5.7954555467e-03,-2.1531294482e-04,4.9977220797e-02,-3.3838687610e-03,1.2244591321e-02,1.5245630474e-02,9.9999097678e-01,-3.3336228217e-03,-2.6318994395e-03,8.0123947146e-05,6.6422698256e-03,-3.6352121267e-04,4.5826821023e-02,-3.3693144973e-03,1.2222661069e-02,1.4990910277e-02,9.9997105449e-01,-5.7489980279e-03,-4.6837870178e-03,-1.7033351659e-03,1.0000000000e+00,1.0000001104e-04,1.0000001293e-04,1.0000001093e-04,6.1717791372e-09,6.3854507790e-09,6.0790872252e-09,3.3403888057e-07,1.0817682314e-07,3.8804681862e-06
1.2000000000e-01,2.6700564614e-01,1.0717867838e-02,9.1548631690e+00,3.6935273207e-03,-6.7684568033e-02,1.5081010587e-01,5.7811118770e-03,-1.5279286993e-04,5.0043338694e-02,-2.4891079192e-03,1.2599329368e-02,1.1922832813e-02,9.9999044194e-01,-3.3168945929e-03,-2.8115351701e-03,4.5772553701e-04,6.6254614236e-03,-3.0236183190e-04,4.5902180796e-02,-2.4790635397e-03,1.2671560090e-02,1.1844220573e-02,9.9997095655e-01,-5.6461673960e-03,-4.8624985212e-03,-1.6009216929e-03,1.0000000000e+00,1.0000001128e-04,1.0000001306e-04,1.0000001118e-04,6.1692101544e-09,6.3725533184e-09,6.0790833314e-09,3.0901134851e-07,1.0550808359e-07,3.6796176964e-06
1.2500000000e-01,3.6760860313e-01,-5.4077052188e-01,9.0149631758e+00,-1.0764455379e-03,-3.1918319318e-02,1.2444468767e-01,5.7737383578e-03,-9.5800156081e-05,5.0090865469e-02,-6.8981111340e-04,1.0241795264e-02,7.9010322741e-03,9.9998989701e-01,-3.3152329229e-03,-2.9283489476e-03,7.9993055544e-04,6.6138259888e-03,-2.3914333903e-04,4.5961459229e-02,-8.4292227497e-04,1.0327149261e-02,7.9053165495e-03,9.9997143692e-01,-5.5736018834e-03,-4.8871109633e-03,-1.4752781234e-03,1.0000000000e+00,1.0000001153e-04,1.0000001320e-04,1.0000001143e-04,6.1732317645e-09,6.3598437113e-09,6.0791694212e-09,2.8638978367e-07,1.0284456783e-07,3.4902500993e-06
1.3000000000e-01,1.1246658780e+00,1.6866051395e-01,7.6356157847e+00,-7.1777600652e-03,1.0632147867e-02,1.0588901967e-01,5.7757635738e-03,-5.0403665388e-05,5.0118230730e-02,1.6298524601e-03,8.7865561737e-03,3.0406861483e-03,9.9998951855e-01,-3.3252413682e-03,-2.9580637112e-03,1.0748999100e-03,6.6060016314e-03,-1.8658032444e-04,4.6012422534e-02,2.6924832648e-03,9.7932360274e-03,7.0464743336e-04,9.9996193385e-01,-4.3016634253e-03,-5.3877421477e-03,-5.3477819348e-03,1.0000000000e+00,1.0000001177e-04,1.0000001335e-04,1.0000001168e-04,6.1486870670e-09,6.3728495835e-09,6.0795878419e-09,2.6599863651e-07,1.0077199033e-07,3.2893192909e-06
1.3500000000e-01,-1.9538594249e-01,-5.0288378387e-01,1.0059858460e+01,-1.6770744992e-02,7.5860628993e-02,9.9967528574e-02,5.7966807758e-03,-3.6235660059e-06,5.0108029207e-02,5.0527270922e-03,9.2309920488e-03,-3.8571907179e-03,9.9998952204e-01,-3.3600847875e-03,-2.8082240323e-03,1.3339872472e-03,6.6255631371e-03,-1.3839241797e-04,4.6005034685e-02,3.5642583345e-03,8.6867590018e-03,-1.5755659758e-03,9.9997316939e-01,-5.0764822917e-03,-4.5695352703e-03,-2.6474865087e-03,1.0000000000e+00,1.0000001202e-04,1.0000001349e-04,1.0000001193e-04,6.1735903813e-09,6.3179937889e-09,6.0791327779e-09,2.4870130864e-07,9.8323235020e-08,3.1583377693e-06
1.4000000000e-01,-6.1497335688e-02,-4.5820831695e-01,9.9370426919e+00,-1.2513612595e-02,6.6271109216e-02,8.0890719767e-02,5.8196217898e-03,3.6312427370e-05,5.0090462995e-02,4.3421045938e-03,7.1962554591e-03,-3.3064026207e-03,9.9998956252e-01,-3.3943898404e-03,-2.6340251459e-03,1.5539889913e-03,6.6459116967e-03,-9.5323325772e-05,4.5992703307e-02,3.7506485718e-03,7.0917029782e-03,-2.3720777316e-03,9.9997578001e-01,-5.2756243513e-03,-4.1642365616e-03,-1.8072960154e-03,1.0000000000e+00,1.0000001227e-04,1.0000001367e-04,1.0000001218e-04,6.1806774110e-09,6.3014013019e-09,6.0792367882e-09,2.3392724014e-07,9.5782347374e-08,3.0478609645e-06
