time,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gt_imu_ax,gt_imu_ay,gt_imu_az,gt_imu_gx,gt_imu_gy,gt_imu_gz,gt_px,gt_py,gt_pz,gt_vx,gt_vy,gt_vz,gt_qw,gt_qx,gt_qy,gt_qz,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_qw,est_qx,est_qy,est_qz,correction_applied,P_dpx,P_dpy,P_dpz,P_dvx,P_dvy,P_dvz,P_dtheta_x,P_dtheta_y,P_dtheta_z
5.5000000000e-02,-1.0744002206e+00,1.7024281914e-01,1.0815797709e+01,-5.5428119781e-04,2.3931994040e-01,1.0140900678e-02,-1.0676293048e+00,1.7921993401e-01,1.0799139077e+01,-3.8901339155e-04,2.4042200582e-01,1.1119947502e-02,5.7755716751e-03,-5.9331351294e-04,4.8362371619e-02,1.4367830612e-02,-5.7112026698e-04,3.0491716879e-02,9.9998875375e-01,-3.0257978612e-03,-2.8732760027e-03,-2.2541543824e-03,4.2436036342e-02,6.4665412794e-04,4.2825914697e-02,4.2745353692e-01,3.5306733998e-03,-1.2310937770e-01,9.1697892865e-01,2.5014361017e-02,-3.9802204179e-01,-1.0118320238e-02,1.0000000000e+00,1.0000844343e-04,1.0007728885e-04,1.0001098949e-04,8.4842663462e-07,3.1503240476e-06,2.2901964555e-06,2.8078500734e-04,1.3771066519e-05,2.4803512753e-05
6.0000000000e-02,-7.0002143037e-01,1.4070448434e-01,1.0079568207e+01,-1.0738046893e-02,1.7384475327e-01,1.7376775972e-02,-6.8216916090e-01,1.3105151190e-01,1.0076802840e+01,-1.1334557191e-02,1.7421385683e-01,1.7239813533e-02,5.8313135828e-03,-5.9257812255e-04,4.8525606603e-02,9.2587717174e-03,5.6044795655e-04,3.3659257829e-02,9.9999009194e-01,-3.0422541834e-03,-2.3747089278e-03,-2.2184389038e-03,4.3932213933e-02,8.7081000011e-04,4.4365479776e-02,3.5384939897e-01,2.4164402561e-03,-1.1087782859e-01,9.0627006506e-01,2.9961389084e-02,-4.2152195832e-01,-9.8042339604e-03,1.0000000000e+00,1.0000812809e-04,1.0007381110e-04,1.0001050895e-04,7.5595753963e-07,2.9829711959e-06,1.5926603164e-06,2.2614915344e-04,1.2358823255e-05,2.7591542816e-05
6.5000000000e-02,-4.8642648923e-01,1.5294299202e-01,9.7768522367e+00,-1.9062494274e-02,1.1744277585e-01,2.5912339847e-02,-4.9857307744e-01,1.5894932630e-01,9.7679833973e+00,-1.8490656454e-02,1.1775641807e-01,2.6242123214e-02,5.8662754564e-03,-5.8602940864e-04,4.8697116896e-02,5.6482309818e-03,1.8009516448e-03,3.4542571214e-02,9.9999086121e-01,-3.0813886561e-03,-2.0251942166e-03,-2.1635939426e-03,4.5273403340e-02,8.7764051040e-04,4.5816876712e-02,2.8851177604e-01,1.9484086731e-03,-1.0761083848e-01,8.9616842412e-01,2.8272089363e-02,-4.4273094002e-01,-8.4946640816e-03,1.0000000000e+00,1.0000809683e-04,1.0006656581e-04,1.0001042008e-04,7.0383052322e-07,2.9993077740e-06,1.1811434807e-06,1.7116483078e-04,1.1633741228e-05,2.8999783954e-05
7.0000000000e-02,-3.4162393254e-01,1.2542538073e-01,9.4619172815e+00,-2.4623464895e-02,7.3959528202e-02,3.4680741089e-02,-3.1840527082e-01,1.1597022565e-01,9.4710312912e+00,-2.4634258564e-02,7.3544211163e-02,3.4294982806e-02,5.8864863301e-03,-5.7368311600e-04,4.8867650505e-02,3.0977138702e-03,2.8551063966e-03,3.3662495031e-02,9.9999128584e-01,-3.1365571915e-03,-1.7992007061e-03,-2.0864143013e-03,4.6457106213e-02,7.8041242339e-04,4.7135468414e-02,2.2871715341e-01,2.2558356566e-03,-1.1068434681e-01,8.8692763684e-01,2.4083522623e-02,-4.6122271143e-01,-7.2774588804e-03,1.0000000000e+00,1.0000820608e-04,1.0005784938e-04,1.0001052894e-04,6.7454828809e-07,3.0082792098e-06,9.1522370487e-07,1.2481378934e-04,1.1248143970e-05,2.8583417691e-05
7.5000000000e-02,-1.7855581031e-01,7.7557860487e-02,9.2941061234e+00,-2.9981380259e-02,3.8977833727e-02,3.9673933820e-02,-1.9147506067e-01,7.9470074352e-02,9.3023249681e+00,-2.9912511697e-02,4.0435521944e-02,4.0924094285e-02,5.8963921126e-03,-5.5670556061e-04,4.9030114924e-02,1.3306225422e-03,3.7013790976e-03,3.1643839377e-02,9.9999148953e-01,-3.2061149891e-03,-1.6665544086e-03,-1.9910551056e-03,4.7454652536e-02,6.5836047339e-04,4.8269634538e-02,1.7402354799e-01,2.8613462993e-03,-1.1895700985e-01,8.7902466541e-01,1.9745002831e-02,-4.7632283076e-01,-6.5064094558e-03,1.0000000000e+00,1.0000838477e-04,1.0004948469e-04,1.0001073710e-04,6.5981291218e-07,2.9507931579e-06,7.4079801691e-07,8.9995647554e-05,1.1034716091e-05,2.6855860194e-05
8.0000000000e-02,-1.2722238158e-01,3.0759944228e-02,9.2259742281e+00,-3.4788734450e-02,1.6062432725e-02,4.7628180149e-02,-1.0154058137e-01,5.0122688083e-02,9.2182121317e+00,-3.4006491094e-02,1.6389127355e-02,4.6505776823e-02,5.8992863063e-03,-5.3600690901e-04,4.9180417514e-02,1.4769286366e-04,4.3843124781e-03,2.8992473314e-02,9.9999154428e-01,-3.2872956267e-03,-1.6026415057e-03,-1.8805828158e-03,4.8231189735e-02,5.3994867901e-04,4.9158662902e-02,1.2384051248e-01,3.4628987161e-03,-1.3057032545e-01,8.7307532855e-01,1.5911930764e-02,-4.8728669004e-01,-6.1613998081e-03,1.0000000000e+00,1.0000859220e-04,1.0004225844e-04,1.0001098553e-04,6.5558488770e-07,2.8513898071e-06,6.2978193834e-07,6.5302757892e-05,1.0895481197e-05,2.4449488559e-05
8.5000000000e-02,-3.0482695210e-01,2.6546442597e-01,9.6314403761e+00,-2.1140817646e-02,-1.9088197919e-02,7.1152053685e-02,-2.9790965959e-01,2.5114467619e-01,9.6495676837e+00,-2.0963340140e-02,-1.8267473866e-02,7.1444944359e-02,5.8955187792e-03,-5.0896338467e-04,4.9321374148e-02,-1.4150315424e-03,6.2176933764e-03,2.7932525834e-02,9.9999157239e-01,-3.3562632204e-03,-1.6106593334e-03,-1.7310204943e-03,4.8746375678e-02,4.0917731559e-04,4.9754505632e-02,7.7568894956e-02,4.3770050123e-03,-1.4418571561e-01,8.6972367039e-01,1.1857077631e-02,-4.9335957092e-01,-6.0399217954e-03,1.0000000000e+00,1.0000879907e-04,1.0003632197e-04,1.0001123298e-04,6.5883360267e-07,2.7283379701e-06,5.6663323446e-07,4.8261665495e-05,1.0764789498e-05,2.1839244254e-05
9.0000000000e-02,-1.4765816543e-01,1.1836317753e-01,9.4762790910e+00,-8.6332212812e-03,-4.5337905230e-02,9.2563004584e-02,-1.6397375629e-01,1.5190117633e-01,9.4678442347e+00,-8.8386010680e-03,-4.4824619084e-02,9.3812253964e-02,5.8847785760e-03,-4.7291857450e-04,4.9456712778e-02,-2.5554160441e-03,7.7617336289e-03,2.6434631273e-02,9.9999166137e-01,-3.3901200754e-03,-1.6977137563e-03,-1.5172507556e-03,4.8952215225e-02,3.3143668113e-04,4.9972433624e-02,3.3183192077e-02,6.1280611560e-03,-1.5807546448e-01,8.6972379078e-01,9.4316100501e-03,-4.9340980982e-01,-6.1912887927e-03,1.0000000000e+00,1.0000898305e-04,1.0003149216e-04,1.0001145088e-04,6.6814731520e-07,2.6151592983e-06,5.4287672048e-07,3.6521044130e-05,1.0591892258e-05,1.9258604251e-05
9.5000000000e-02,-6.6571914549e-02,9.1036503961e-02,9.3511738667e+00,-1.5115443897e-03,-6.0012450218e-02,1.0951889462e-01,-6.7972395497e-02,1.0131724030e-01,9.3466561789e+00,-1.5304224582e-03,-6.1396227003e-02,1.0972567395e-01,5.8698755517e-03,-4.3055852024e-04,4.9582418544e-02,-3.2032629140e-03,8.8723114939e-03,2.4261176755e-02,9.9999174233e-01,-3.4008074722e-03,-1.8354596193e-03,-1.2573256358e-03,4.8815043327e-02,2.7256011341e-04,4.9779940649e-02,-5.7211951715e-03,7.1417578485e-03,-1.7065823846e-01,8.7329988803e-01,7.4971420331e-03,-4.8708224447e-01,-6.4796263906e-03,1.0000000000e+00,1.0000912637e-04,1.0002762560e-04,1.0001160029e-04,6.8234641652e-07,2.4935918125e-06,5.5213532567e-07,2.8440090925e-05,1.0338497369e-05,1.6936023496e-05
1.0000000000e-01,-1.8502498178e-02,6.7418719108e-02,9.2795651481e+00,1.3436161941e-03,-6.9685419329e-02,1.2045476095e-01,1.3699338383e-03,6.3937867525e-02,9.2752936485e+00,1.6941404790e-04,-7.0406871934e-02,1.2014646004e-01,5.8528599545e-03,-3.8344893521e-04,4.9695849404e-02,-3.4898667409e-03,9.7277890667e-03,2.1650394503e-02,9.9999174210e-01,-3.4017218666e-03,-2.0027855828e-03,-9.6585404699e-04,4.8342261866e-02,2.2505932290e-04,4.9176469197e-02,-3.9171149011e-02,8.0200749595e-03,-1.8070440958e-01,8.8025733178e-01,5.8989951650e-03,-4.7441039921e-01,-6.8560062610e-03,1.0000000000e+00,1.0000921882e-04,1.0002455915e-04,1.0001166457e-04,7.0006642053e-07,2.3714137940e-06,5.8397637202e-07,2.2804480179e-05,9.9841650035e-06,1.4975501869e-05
1.0500000000e-01,-5.4047371883e-02,7.1757416742e-02,9.5536093821e+00,8.4139837991e-03,-8.4722483487e-02,1.3360197911e-01,-8.2459153479e-02,9.4838677958e-02,9.5660309258e+00,9.2144527549e-03,-8.4385726798e-02,1.3479129827e-01,5.8341038966e-03,-3.3169918051e-04,4.9799171919e-02,-3.9407119603e-03,1.0759214201e-02,2.0223150023e-02,9.9999163127e-01,-3.3901161739e-03,-2.1977055508e-03,-6.4388888176e-04,4.7562594335e-02,1.8258470384e-04,4.8198994726e-02,-6.7295904099e-02,8.8803857879e-03,-1.8706201886e-01,8.9001091089e-01,4.4108154409e-03,-4.5585976957e-01,-7.2796767289e-03,1.0000000000e+00,1.0000925843e-04,1.0002213228e-04,1.0001163884e-04,7.2066981888e-07,2.2550826058e-06,6.2873020035e-07,1.8772917261e-05,9.5252642123e-06,1.3400441507e-05
1.1000000000e-01,1.3552948755e-01,8.3737365184e-02,9.2060407303e+00,1.1531807405e-02,-9.0618040229e-02,1.4470273692e-01,1.2319726974e-01,8.8052085515e-02,9.2345981995e+00,1.2409166173e-02,-9.0888884842e-02,1.4397867937e-01,5.8138546795e-03,-2.7534005475e-04,4.9894817514e-02,-4.0564550190e-03,1.1532988835e-02,1.8366389164e-02,9.9999138093e-01,-3.3616756593e-03,-2.4192043740e-03,-2.9093759048e-04,4.6528108661e-02,1.4945594478e-04,4.6893117504e-02,-9.1502054971e-02,9.7804849432e-03,-1.8843406813e-01,9.0174386755e-01,3.1357858372e-03,-4.3219088752e-01,-7.6942137453e-03,1.0000000000e+00,1.0000924855e-04,1.0002019608e-04,1.0001152842e-04,7.4538677187e-07,2.1575470770e-06,6.8107766448e-07,1.5775925854e-05,8.9673241371e-06,1.2178031084e-05
