time,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gt_px,gt_py,gt_pz,gt_vx,gt_vy,gt_vz,gt_qw,gt_qx,gt_qy,gt_qz,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_qw,est_qx,est_qy,est_qz,correction_applied,P_dpx,P_dpy,P_dpz,P_dvx,P_dvy,P_dvz,P_dtheta_x,P_dtheta_y,P_dtheta_z
5.0000000000e-03,3.2089351207e+01,7.1581725818e-02,-1.4236634681e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.4694469520e-17,3.6049722235e-18,5.3541698966e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.9999550000e-01,0.0000000000e+00,-2.9999955000e-03,0.0000000000e+00,-3.4694469520e-17,3.6049722235e-18,5.3541698966e-02,1.6087096448e-01,3.5790862909e-04,-1.1926921735e-01,9.9999550000e-01,0.0000000000e+00,-2.9999955000e-03,0.0000000000e+00,0.0000000000e+00,1.0000002500e-04,1.0000002500e-04,1.0000002500e-04,2.5114525562e-06,1.0394750063e-05,8.8928002487e-06,3.0461743844e-04,3.0461743844e-04,3.0461743844e-04
1.0000000000e-02,2.1255611767e+01,-1.4288258611e+00,-9.3266170116e+00,-2.4959333935e-01,-1.1902299692e+00,-8.5966289421e-02,5.5279424842e-04,-3.3377800226e-05,5.3056957120e-02,1.1051990592e-01,-6.8132499908e-03,-9.6450391032e-02,9.9998192881e-01,-6.2230945553e-04,-5.9756448731e-03,-2.1554901517e-04,8.0435482239e-04,1.7895431455e-06,5.2945352880e-02,2.6742690714e-01,-6.7862206762e-03,-2.1431379849e-01,9.9998192854e-01,-6.2333482916e-04,-5.9755384916e-03,-2.1678636803e-04,0.0000000000e+00,1.0000013779e-04,1.0000033487e-04,1.0000029732e-04,5.1469332523e-06,2.6918274887e-05,2.2818248001e-05,3.0461745710e-04,3.0461745710e-04,3.0461745710e-04
1.5000000000e-02,1.3328372190e+01,-2.0973991584e+00,-5.4579793219e+00,-3.6908079407e-01,-1.9391923720e+00,-1.3364881446e-01,1.4730375997e-03,-1.1617865893e-04,5.2178606901e-02,1.8394405779e-01,-1.6877073799e-02,-1.7431264202e-01,9.9994008241e-01,-1.5416398947e-03,-1.0823712675e-02,-5.4970923322e-04,2.1414893581e-03,-3.2141560236e-05,5.1873783887e-02,3.3438550813e-01,-1.7335696030e-02,-2.8984223297e-01,9.9994007905e-01,-1.5450631731e-03,-1.0823347186e-02,-5.5339006746e-04,0.0000000000e+00,1.0000049118e-04,1.0000188784e-04,1.0000162346e-04,7.3221574103e-06,4.1291003542e-05,3.5180211374e-05,3.0461747576e-04,3.0461747576e-04,3.0461747576e-04
2.0000000000e-02,-9.2609233550e-01,3.5745729794e-01,-8.1095147995e-01,-4.2469318827e-01,-2.3840744009e+00,-1.5884068676e-01,2.6245205103e-03,-2.5421441914e-04,5.0976863117e-02,2.3013067787e-01,-2.8024331336e-02,-2.3824887200e-01,9.9985531759e-01,-2.5990603698e-03,-1.6783714566e-02,-9.4641101245e-04,3.8134168988e-03,-1.1882004039e-04,5.0424572722e-02,3.2984593185e-01,-1.5556026974e-02,-3.4305175832e-01,9.9985530687e-01,-2.6056979189e-03,-1.6782966284e-02,-9.5273799556e-04,0.0000000000e+00,1.0000123253e-04,1.0000565802e-04,1.0000483739e-04,7.6806216566e-06,4.0748777124e-05,3.4253283003e-05,3.0461749442e-04,3.0461749442e-04,3.0461749442e-04
2.5000000000e-02,-1.6870908115e+01,-6.9537321386e-01,3.3122292901e+01,-3.0629563306e-01,-4.0990740624e-01,-1.8284979911e-01,3.7944377090e-03,-3.7379112303e-04,4.9722710968e-02,2.3425759142e-01,-2.4327093350e-02,-2.4960419549e-01,9.9983477217e-01,-3.3567185738e-03,-1.7809041041e-02,-1.4138129694e-03,5.4626465580e-03,-1.9660017526e-04,4.8709313931e-02,2.3997485949e-01,-1.8011266903e-02,-2.2939928004e-01,9.9983475481e-01,-3.3646279974e-03,-1.7808032301e-02,-1.4199764637e-03,0.0000000000e+00,1.0000236915e-04,1.0001144732e-04,1.0000973378e-04,1.2224782755e-06,1.8665946695e-05,1.8688231214e-05,3.0461751308e-04,3.0461751308e-04,3.0461751308e-04
3.0000000000e-02,-1.3807912919e+01,1.2912012526e+00,2.9011508192e+01,-1.1745021017e-01,2.2188097207e-01,-1.3411501038e-01,4.7096651748e-03,-4.8982573126e-04,4.8915807053e-02,1.8315928488e-01,-2.3421382274e-02,-1.6100083417e-01,9.9984294042e-01,-3.6433074472e-03,-1.7255060396e-02,-1.7560452985e-03,6.6625208555e-03,-2.8665650977e-04,4.7562317531e-02,1.6583432822e-01,-1.0384365314e-02,-1.3598930783e-01,9.9984291581e-01,-3.6514456511e-03,-1.7254128247e-02,-1.7623034568e-03,0.0000000000e+00,1.0000255030e-04,1.0001604699e-04,1.0001445971e-04,8.7238084467e-06,1.7068252436e-05,9.4666890645e-06,3.0461753173e-04,3.0461753173e-04,3.0461753173e-04
3.5000000000e-02,-9.8057486741e+00,7.9008801415e-01,2.2568692472e+01,-5.4219717077e-02,5.3095286462e-01,-7.9677377871e-02,5.4008872744e-03,-5.6277320897e-04,4.8471731219e-02,1.3825198603e-01,-1.4689324799e-02,-8.8724798776e-02,9.9986409341e-01,-3.7730534132e-03,-1.5928250695e-02,-1.9620422324e-03,7.4916924966e-03,-3.3857833634e-04,4.6882370991e-02,1.1295753376e-01,-5.4366365357e-03,-7.3986909216e-02,9.9986406278e-01,-3.7811941296e-03,-1.5927427763e-02,-1.9686495938e-03,0.0000000000e+00,1.0000197507e-04,1.0001903694e-04,1.0001837815e-04,2.3176955350e-05,2.7054691250e-05,4.9617159809e-06,3.0461755039e-04,3.0461755039e-04,3.0461755039e-04
4.0000000000e-02,-6.8776240502e+00,1.8730642097e-01,1.8088946330e+01,-2.0597087573e-02,6.9233205647e-01,-3.5942060485e-02,5.9156501545e-03,-6.0881157680e-04,4.8273416120e-02,1.0291806129e-01,-9.2950749853e-03,-3.9612388391e-02,9.9988979241e-01,-3.8194699107e-03,-1.4197764951e-02,-2.0586777551e-03,8.0564801654e-03,-3.6576151902e-04,4.6512436445e-02,7.5711561430e-02,-3.6793455032e-03,-3.3743466774e-02,9.9988975579e-01,-3.8278355818e-03,-1.4197048219e-02,-2.0658542736e-03,0.0000000000e+00,1.0000168176e-04,1.0002141277e-04,1.0002144550e-04,4.0263853756e-05,4.2005874237e-05,2.8256656715e-06,3.0461756905e-04,3.0461756905e-04,3.0461756905e-04
4.5000000000e-02,-4.7005291670e+00,5.4349655605e-01,1.5079695989e+01,8.4157250693e-03,7.4925728437e-01,-4.0059819279e-03,6.2916912083e-03,-6.4376549323e-04,4.8237607397e-02,7.5169574373e-02,-7.1305724460e-03,-7.0758727650e-03,9.9991469775e-01,-3.7937702557e-03,-1.2324772034e-02,-2.0747358046e-03,8.4350379725e-03,-3.8415824654e-04,4.6343719111e-02,5.0090669148e-02,-2.8583956781e-04,-8.1158674032e-03,9.9991465432e-01,-3.8027800632e-03,-1.2324169496e-02,-2.0827358778e-03,0.0000000000e+00,1.0000292838e-04,1.0002455691e-04,1.0002379151e-04,5.8285468481e-05,5.9049756654e-05,1.8491602886e-06,3.0461758771e-04,3.0461758771e-04,3.0461758771e-04
5.0000000000e-02,-3.3367879229e+00,2.0855042981e-01,1.3105123561e+01,1.5362273003e-02,7.2540979781e-01,1.1272852986e-04,6.5741967148e-03,-6.5513982957e-04,4.8292032203e-02,5.6472283913e-02,-2.3615595384e-03,1.0968890755e-02,9.9993555409e-01,-3.7511878027e-03,-1.0511372687e-02,-2.0802153255e-03,8.6854913183e-03,-3.8558744438e-04,4.6303139774e-02,3.1802461437e-02,1.3264804165e-03,7.9186134276e-03,9.9993550609e-01,-3.7605978060e-03,-1.0510859414e-02,-2.0888737673e-03,0.0000000000e+00,1.0000700578e-04,1.0002994015e-04,1.0002559210e-04,7.6768218289e-05,7.7075777305e-05,1.4028780432e-06,3.0461760636e-04,3.0461760636e-04,3.0461760636e-04
