time,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gt_px,gt_py,gt_pz,gt_vx,gt_vy,gt_vz,gt_qw,gt_qx,gt_qy,gt_qz,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_qw,est_qx,est_qy,est_qz,correction_applied,P_dpx,P_dpy,P_dpz,P_dvx,P_dvy,P_dvz,P_dtheta_x,P_dtheta_y,P_dtheta_z
5.0000000000e-03,2.1255611767e+01,-1.4288258611e+00,-9.3266170116e+00,-2.4959333935e-01,-1.1902299692e+00,-8.5966289421e-02,5.5279424842e-04,-3.3377800226e-05,5.3056957120e-02,1.1051990592e-01,-6.8132499908e-03,-9.6450391032e-02,9.9998192881e-01,-6.2230945553e-04,-5.9756448731e-03,-2.1554901517e-04,-3.4694469520e-17,3.6049722235e-18,5.3541698966e-02,1.0655594267e-01,-7.1441293053e-03,-9.5044581138e-02,9.9998192854e-01,-6.2333482916e-04,-5.9755384916e-03,-2.1678636803e-04,0.0000000000e+00,1.0000002500e-04,1.0000002500e-04,1.0000002500e-04,1.6693905483e-06,5.1125209461e-06,4.4836495811e-06,3.0461743844e-04,3.0461743844e-04,3.0461743844e-04
1.0000000000e-02,1.3328372190e+01,-2.0973991584e+00,-5.4579793219e+00,-3.6908079407e-01,-1.9391923720e+00,-1.3364881446e-01,1.4730375997e-03,-1.1617865893e-04,5.2178606901e-02,1.8394405779e-01,-1.6877073799e-02,-1.7431264202e-01,9.9994008241e-01,-1.5416398947e-03,-1.0823712675e-02,-5.4970923322e-04,5.3277971333e-04,-3.5720646527e-05,5.3066476061e-02,1.7351454365e-01,-1.7693604659e-02,-1.7057301562e-01,9.9994007905e-01,-1.5450631731e-03,-1.0823347186e-02,-5.5339006746e-04,0.0000000000e+00,1.0000011673e-04,1.0000020281e-04,1.0000018709e-04,2.7141677023e-06,1.1790010230e-05,1.0285421211e-05,3.0461745710e-04,3.0461745710e-04,3.0461745710e-04
1.5000000000e-02,-9.2609233550e-01,3.5745729794e-01,-8.1095147995e-01,-4.2469318827e-01,-2.3840744009e+00,-1.5884068676e-01,2.6245205103e-03,-2.5421441914e-04,5.0976863117e-02,2.3013067787e-01,-2.8024331336e-02,-2.3824887200e-01,9.9985531759e-01,-2.5990603698e-03,-1.6783714566e-02,-9.4641101245e-04,1.4003524316e-03,-1.2418866982e-04,5.2213610983e-02,1.6897496737e-01,-1.5913935604e-02,-2.2378254097e-01,9.9985530687e-01,-2.6056979189e-03,-1.6782966284e-02,-9.5273799556e-04,0.0000000000e+00,1.0000033776e-04,1.0000093041e-04,1.0000082823e-04,2.8942994125e-06,1.1514755044e-05,9.8030204962e-06,3.0461747576e-04,3.0461747576e-04,3.0461747576e-04
2.0000000000e-02,-1.6609828936e+01,-1.5332395683e+00,3.2773483399e+01,-3.0629563306e-01,-4.0990740624e-01,-1.8284979911e-01,3.7944377090e-03,-3.7379112303e-04,4.9722710968e-02,2.3425759142e-01,-2.4327093350e-02,-2.4960419549e-01,9.9983477217e-01,-3.3567185738e-03,-1.7809041041e-02,-1.4138129694e-03,2.2452272684e-03,-2.0375834784e-04,5.1094698278e-02,8.0458728692e-02,-2.2569959058e-02,-1.1180759192e-01,9.9983475481e-01,-3.3646279974e-03,-1.7808032301e-02,-1.4199764637e-03,0.0000000000e+00,1.0000070582e-04,1.0000222876e-04,1.0000195154e-04,3.3623822978e-06,5.1791830372e-06,3.1648456374e-06,3.0461749442e-04,3.0461749442e-04,3.0461749442e-04
2.5000000000e-02,-1.3807912919e+01,1.2912012526e+00,2.9011508192e+01,-1.1745021017e-01,2.2188097207e-01,-1.3411501038e-01,4.7096651748e-03,-4.8982573126e-04,4.8915807053e-02,1.8315928488e-01,-2.3421382274e-02,-1.6100083417e-01,9.9984294042e-01,-3.6433074472e-03,-1.7255060396e-02,-1.7560452985e-03,2.6475209119e-03,-3.1660814313e-04,5.0535660318e-02,6.3181974213e-03,-1.4943057470e-02,-1.8397619717e-02,9.9984291581e-01,-3.6514456511e-03,-1.7254128247e-02,-1.7623034568e-03,0.0000000000e+00,1.0000075594e-04,1.0000286058e-04,1.0000279778e-04,1.6791370597e-05,1.6735512575e-05,1.1273045554e-06,3.0461751308e-04,3.0461751308e-04,3.0461751308e-04
3.0000000000e-02,-9.8057486741e+00,7.9008801415e-01,2.2568692472e+01,-5.4219717077e-02,5.3095286462e-01,-7.9677377871e-02,5.4008872744e-03,-5.6277320897e-04,4.8471731219e-02,1.3825198603e-01,-1.4689324799e-02,-8.8724798776e-02,9.9986409341e-01,-3.7730534132e-03,-1.5928250695e-02,-1.9620422324e-03,2.6791118990e-03,-3.9132343048e-04,5.0443672220e-02,-4.6558597043e-02,-9.9953286912e-03,4.3604778898e-02,9.9986406278e-01,-3.7811941296e-03,-1.5927427763e-02,-1.9686495938e-03,0.0000000000e+00,1.0000106234e-04,1.0000320212e-04,1.0000314604e-04,3.5868099230e-05,3.6497988578e-05,1.7473041378e-06,3.0461753173e-04,3.0461753173e-04,3.0461753173e-04
3.5000000000e-02,-6.8776240502e+00,1.8730642097e-01,1.8088946330e+01,-2.0597087573e-02,6.9233205647e-01,-3.5942060485e-02,5.9156501545e-03,-6.0881157680e-04,4.8273416120e-02,1.0291806129e-01,-9.2950749853e-03,-3.9612388391e-02,9.9988979241e-01,-3.8194699107e-03,-1.4197764951e-02,-2.0586777551e-03,2.4463189138e-03,-4.4130007393e-04,5.0661696114e-02,-8.3804569373e-02,-8.2380376587e-03,8.3848221341e-02,9.9988975579e-01,-3.8278355818e-03,-1.4197048219e-02,-2.0658542736e-03,0.0000000000e+00,1.0000287577e-04,1.0000463942e-04,1.0000312874e-04,5.6678829962e-05,5.8797551641e-05,3.2260404778e-06,3.0461755039e-04,3.0461755039e-04,3.0461755039e-04
4.0000000000e-02,-4.6025129335e+00,5.4523436940e-02,1.4788439764e+01,8.4157250693e-03,7.4925728437e-01,-4.0059819279e-03,6.2916912083e-03,-6.4376549323e-04,4.8237607397e-02,7.5169574373e-02,-7.1305724460e-03,-7.0758727650e-03,9.9991469775e-01,-3.7937702557e-03,-1.2324772034e-02,-2.0747358046e-03,2.0272960669e-03,-4.8249026223e-04,5.1080937221e-02,-1.0890462612e-01,-7.3025091911e-03,1.0805266255e-01,9.9991465432e-01,-3.8027800632e-03,-1.2324169496e-02,-2.0827358778e-03,0.0000000000e+00,1.0000761803e-04,1.0000879907e-04,1.0000295586e-04,7.7383971223e-05,8.0980560667e-05,4.7044755090e-06,3.0461756905e-04,3.0461756905e-04,3.0461756905e-04
4.5000000000e-02,-3.3367879229e+00,2.0855042981e-01,1.3105123561e+01,1.5362273003e-02,7.2540979781e-01,1.1272852986e-04,6.5741967148e-03,-6.5513982957e-04,4.8292032203e-02,5.6472283913e-02,-2.3615595384e-03,1.0968890755e-02,9.9993555409e-01,-3.7511878027e-03,-1.0511372687e-02,-2.0802153255e-03,1.4827729363e-03,-5.1900280818e-04,5.1621200534e-02,-1.2719283383e-01,-5.6901892067e-03,1.2408714338e-01,9.9993550609e-01,-3.7605978060e-03,-1.0510859414e-02,-2.0888737673e-03,0.0000000000e+00,1.0001669372e-04,1.0001728141e-04,1.0000282486e-04,9.8521193392e-05,1.0343944183e-04,6.0227967239e-06,3.0461758771e-04,3.0461758771e-04,3.0461758771e-04
5.0000000000e-02,-2.2541236639e+00,7.8986309810e-02,1.1669507683e+01,1.1497253675e-02,6.6988697752e-01,7.1903436906e-03,6.7808597592e-03,-6.5442883577e-04,4.8402371059e-02,4.1316224234e-02,7.1795729993e-05,2.2157534579e-02,9.9995190303e-01,-3.7188017226e-03,-8.8366716811e-03,-2.0676991570e-03,8.4680876719e-04,-5.4745375422e-04,5.2241636250e-02,-1.3968475219e-01,-4.8077034156e-03,1.3313009684e-01,9.9995185162e-01,-3.7285419332e-03,-8.8362284572e-03,-2.0768919662e-03,0.0000000000e+00,1.0003153416e-04,1.0003166130e-04,1.0000287689e-04,1.1957145626e-04,1.2550806490e-04,7.0449375349e-06,3.0461760636e-04,3.0461760636e-04,3.0461760636e-04
